Movie Name,Votes,Certification,Gross (USD millions),Star 1,Star 2,Star 3,Star 4,Genre1,Genre2,Genre3,Popularity
The Spiderwick Chronicles,99171,PG,71.2,Freddie Highmore,Sarah Bolger,David Strathairn,Mary-Louise Parker,Action, Adventure, Drama,2140
Sin City: A Dame to Kill For,165955,R,13.76,Mickey Rourke,Jessica Alba,Josh Brolin,Joseph Gordon-Levitt,Action, Crime, Thriller,2229
Tomorrow Never Dies,199300,PG-13,125.33,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher,Action, Adventure, Thriller,2239
Kick-Ass 2,279845,R,28.8,Aaron Taylor-Johnson,Chloë Grace Moretz,Christopher Mintz-Plasse,Jim Carrey,Action, Comedy, Crime,2324
Terminator Salvation,369006,PG-13,125.32,Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood,Action, Adventure, Sci-Fi,2414
Rambo: First Blood Part II,175286,R,150.42,Sylvester Stallone,Richard Crenna,Charles Napier,Steven Berkoff,Action, Adventure, Thriller,2433
The Forbidden Kingdom,107569,PG-13,52.08,Jackie Chan,Jet Li,Michael Angarano,Juana Collignon,Action, Adventure, Fantasy,2559
Air Force One,202607,R,172.96,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,Action, Drama, Thriller,2729
The Man in the Iron Mask,172579,PG-13,56.97,Leonardo DiCaprio,Jeremy Irons,John Malkovich,Gérard Depardieu,Action, Adventure, Drama,2767
A Walk Among the Tombstones,124395,R,26.31,Liam Neeson,Dan Stevens,David Harbour,Boyd Holbrook,Action, Crime, Drama,2787
The Interview,341451,R,6.11,James Franco,Seth Rogen,Randall Park,Lizzy Caplan,Action, Adventure, Comedy,2909
The Perfect Storm,172482,PG-13,182.62,George Clooney,Mark Wahlberg,John C. Reilly,Diane Lane,Action, Adventure, Drama,3022
Under Siege,91216,R,83.36,Steven Seagal,Gary Busey,Tommy Lee Jones,Erika Eleniak,Action, Thriller,,3098
Never Back Down,103896,PG-13,24.85,Sean Faris,Djimon Hounsou,Amber Heard,Cam Gigandet,Action, Drama, Sport,3128
Space Cowboys,83729,PG-13,90.46,Clint Eastwood,Tommy Lee Jones,Donald Sutherland,James Garner,Action, Adventure, Thriller,3136
Nerve,135401,PG-13,38.58,Emma Roberts,Dave Franco,Emily Meade,Miles Heizer,Action, Adventure, Crime,3224
The Rocketeer,59735,PG,46.7,Billy Campbell,Jennifer Connelly,Alan Arkin,Timothy Dalton,Action, Adventure, Family,3326
Peppermint,67427,R,35.42,Jennifer Garner,John Gallagher Jr.,John Ortiz,Juan Pablo Raba,Action, Thriller,,3440
Octopussy,109246,PG,67.9,Roger Moore,Maud Adams,Louis Jourdan,Kristina Wayborn,Action, Adventure, Thriller,3518
Diamonds Are Forever,110063,PG,43.82,Sean Connery,Jill St. John,Charles Gray,Lana Wood,Action, Adventure, Thriller,3627
Get Smart,222640,PG-13,130.32,Steve Carell,Anne Hathaway,Alan Arkin,Dwayne Johnson,Action, Adventure, Comedy,3843
Safe,113499,R,17.14,Jason Statham,Catherine Chan,Chris Sarandon,Robert John Burke,Action, Crime, Thriller,3876
U.S. Marshals,109437,PG-13,57.17,Tommy Lee Jones,Wesley Snipes,Robert Downey Jr.,Joe Pantoliano,Action, Crime, Thriller,4478
National Treasure: Book of Secrets,245284,PG,219.96,Nicolas Cage,Diane Kruger,Justin Bartha,Jon Voight,Action, Adventure, Mystery,4545
Underworld: Rise of the Lycans,163840,R,45.8,Rhona Mitra,Michael Sheen,Bill Nighy,Steven Mackintosh,Action, Fantasy, Thriller,
Batman: The Movie,34519,PG,,Adam West,Burt Ward,Lee Meriwether,Cesar Romero,Action, Adventure, Comedy,
Executive Decision,59623,R,56.57,Kurt Russell,Halle Berry,John Leguizamo,Oliver Platt,Action, Adventure, Thriller,
Young Guns II,37634,PG-13,44.14,Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,Christian Slater,Action, Drama, Western,
Self/less,101544,PG-13,12.28,Ryan Reynolds,Natalie Martinez,Matthew Goode,Ben Kingsley,Action, Mystery, Sci-Fi,
The International,97426,R,25.45,Clive Owen,Naomi Watts,Armin Mueller-Stahl,Ulrich Thomsen,Action, Crime, Drama,
Cellular,103123,PG-13,32,Kim Basinger,Chris Evans,Jason Statham,William H. Macy,Action, Crime, Thriller,
Premium Rush,116256,PG-13,20.28,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,Sean Kennedy,Action, Crime, Thriller,
The Grandmaster,35539,PG-13,6.59,Tony Leung Chiu-wai,Ziyi Zhang,Jin Zhang,Chang Chen,Action, Biography, Drama,
Space Sweepers,27119,TV-MA,,Song Joong-ki,Kim Tae-ri,Jin Seon-kyu,Hae-Jin Yoo,Action, Adventure, Drama,
Hostage,112172,R,34.64,Bruce Willis,Kevin Pollak,Serena Scott Thomas,Jimmy Bennett,Action, Crime, Drama,
Flyboys,43568,PG-13,13.08,James Franco,Jean Reno,Jennifer Decker,Scott Hazell,Action, Drama, History,
Heist (2001),38120,R,0.05,Gene Hackman,Rebecca Pidgeon,Danny DeVito,Delroy Lindo,Action, Crime, Drama,
The Four Feathers,34844,PG-13,18.31,Heath Ledger,Wes Bentley,Kate Hudson,Mohamed Bouich,Action, Adventure, Drama,
Ladder 49,58604,PG-13,74.54,Joaquin Phoenix,John Travolta,Jacinda Barrett,Robert Patrick,Action, Drama, Thriller,
War (2019),29453,Not Rated,,Hrithik Roshan,Tiger Shroff,Vaani Kapoor,Ashutosh Rana,Action, Adventure, Thriller,
Spartan,32511,R,4.43,Val Kilmer,Derek Luke,William H. Macy,Tia Texada,Action, Crime, Drama,
District 13: Ultimatum,45480,R,0.04,Cyril Raffaelli,David Belle,Philippe Torreton,Daniel Duval,Action, Crime, Thriller,
Dhoom 2,28263,Not Rated,2.64,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan,Uday Chopra,Action, Crime, Thriller,
Taxi 2,57371,Not Rated,0.73,Samy Naceri,Frédéric Diefenthal,Emma Wiklund,Marion Cotillard,Action, Comedy, Crime,
Conquest 1453,58600,Not Rated,0.07,Devrim Evin,Ibrahim Celikkol,Dilek Serbest,Cengiz Coskun,Action, Drama, History,
Valerian and the City of a Thousand Planets,188628,PG-13,41.19,Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna,Action, Adventure, Fantasy,289
Twister,203014,PG-13,241.72,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,Action, Adventure, Thriller,476
Escape Room,131226,PG-13,57.01,Taylor Russell,Logan Miller,Jay Ellis,Tyler Labine,Action, Adventure, Horror,612
The Punisher,164824,R,33.81,Thomas Jane,John Travolta,Samantha Mathis,Laura Harring,Action, Crime, Drama,855
Lucy,512096,R,126.66,Scarlett Johansson,Morgan Freeman,Choi Min-sik,Amr Waked,Action, Sci-Fi, Thriller,857
Last Action Hero,157224,PG-13,50.02,Arnold Schwarzenegger,F. Murray Abraham,Art Carney,Charles Dance,Action, Adventure, Comedy,882
The Day After Tomorrow,460058,PG-13,186.74,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,Dash Mihok,Action, Adventure, Sci-Fi,890
Batman v Superman: Dawn of Justice,712329,PG-13,330.36,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Action, Adventure, Sci-Fi,1007
Triple Frontier,136108,R,,Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund,Action, Thriller,,1346
Greenland,123768,PG-13,,Gerard Butler,Morena Baccarin,Roger Dale Floyd,Scott Glenn,Action, Thriller,,1389
Godzilla (2014),423036,PG-13,200.68,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,Ken Watanabe,Action, Adventure, Sci-Fi,1407
Tomorrowland,186371,PG,93.44,George Clooney,Britt Robertson,Hugh Laurie,Raffey Cassidy,Action, Adventure, Family,1427
Riddick,172830,R,42.03,Vin Diesel,Karl Urban,Katee Sackhoff,Jordi Mollà,Action, Adventure, Sci-Fi,1445
Death Race,213670,R,36.32,Jason Statham,Joan Allen,Tyrese Gibson,Ian McShane,Action, Sci-Fi, Thriller,1474
The Mummy Returns,335047,PG-13,202.02,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Action, Adventure, Fantasy,1634
The Sum of All Fears,120307,PG-13,118.91,Ben Affleck,Morgan Freeman,Ian Mongrain,Russell Bobbitt,Action, Drama, Thriller,1656
Angel Has Fallen,103171,R,69.03,Gerard Butler,Frederick Schmidt,Danny Huston,Rocci Boy Williams,Action, Thriller,,1674
Army of Thieves,82230,TV-MA,,Matthias Schweighöfer,Nathalie Emmanuel,Ruby O. Fee,Stuart Martin,Action, Comedy, Crime,1695
Revenge,45698,R,0.1,Matilda Anna Ingrid Lutz,Kevin Janssens,Vincent Colombe,Guillaume Bouchède,Action, Drama, Horror,1763
Alien³,307749,R,55.47,Sigourney Weaver,Charles S. Dutton,Charles Dance,Paul McGann,Action, Horror, Sci-Fi,1799
The Expendables,353141,R,103.07,Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren,Action, Adventure, Thriller,1840
Predators,236965,R,52,Adrien Brody,Laurence Fishburne,Topher Grace,Alice Braga,Action, Adventure, Fantasy,1868
Need for Speed,174325,PG-13,43.58,Aaron Paul,Dominic Cooper,Imogen Poots,Kid Cudi,Action, Adventure, Thriller,1958
Hancock,495166,PG-13,227.95,Will Smith,Charlize Theron,Jason Bateman,Jae Head,Action, Comedy, Drama,1989
The Three Musketeers (1993),56964,PG,53.9,Charlie Sheen,Kiefer Sutherland,Chris O'Donnell,Oliver Platt,Action, Adventure, Romance,2321
Now You See Me 2,303319,PG-13,65.08,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,Dave Franco,Action, Adventure, Comedy,2536
The World Is Not Enough,204915,PG-13,126.94,Pierce Brosnan,Sophie Marceau,Robert Carlyle,Denise Richards,Action, Adventure, Thriller,2716
Colombiana,104105,PG-13,36.67,Zoe Saldana,Michael Vartan,Callum Blue,Jordi Mollà,Action, Drama, Thriller,2747
Salt,321539,PG-13,118.31,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Daniel Olbrychski,Action, Thriller,,2907
Savages,132307,R,47.38,Aaron Taylor-Johnson,Taylor Kitsch,Blake Lively,Benicio Del Toro,Action, Crime, Drama,2915
Pain & Gain,222579,R,49.88,Mark Wahlberg,Dwayne Johnson,Anthony Mackie,Tony Shalhoub,Action, Comedy, Crime,3006
Faster,109871,R,23.24,Dwayne Johnson,Billy Bob Thornton,Maggie Grace,Mauricio Lopez,Action, Crime, Drama,3049
The Vault,28054,R,,Freddie Highmore,Astrid Bergès-Frisbey,Sam Riley,Liam Cunningham,Action, Adventure, Thriller,3115
Rat Race,119450,PG-13,56.62,Breckin Meyer,Amy Smart,Whoopi Goldberg,Vince Vieluf,Action, Adventure, Comedy,3251
Monsters vs. Aliens,169025,PG,198.35,Reese Witherspoon,Rainn Wilson,Stephen Colbert,Seth Rogen,Animation, Action, Adventure,3280
Tango & Cash,109561,R,63.41,Sylvester Stallone,Kurt Russell,Teri Hatcher,Jack Palance,Action, Comedy, Crime,3525
Star Trek: Nemesis,81687,PG-13,43.25,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton,Action, Adventure, Sci-Fi,3675
The Lone Ranger,239269,PG-13,89.3,Johnny Depp,Armie Hammer,William Fichtner,Tom Wilkinson,Action, Adventure, Western,3744
Here Comes the Boom,93461,PG,45.29,Kevin James,Salma Hayek,Henry Winkler,Greg Germann,Action, Comedy, Sport,4003
The Taking of Pelham 123,202290,R,65.45,Denzel Washington,John Travolta,Luis Guzmán,Victor Gojcaj,Action, Crime, Thriller,4015
Kickboxer,57997,R,14.7,Jean-Claude Van Damme,Dennis Alexio,Dennis Chan,Michel Qissi,Action, Sport, Thriller,4076
The Purge: Anarchy,156723,R,71.96,Frank Grillo,Carmen Ejogo,Zach Gilford,Kiele Sanchez,Action, Horror, Sci-Fi,4158
Star Trek: Insurrection,77375,PG,70.12,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton,Action, Adventure, Sci-Fi,4173
The Jackal,120586,R,54.93,Bruce Willis,Richard Gere,Sidney Poitier,Diane Venora,Action, Crime, Drama,4237
Chaos,56188,R,,Jason Statham,Ryan Phillippe,Wesley Snipes,Henry Czerny,Action, Crime, Drama,4267
The Angry Birds Movie 2,32100,PG,41.66,Jason Sudeikis,Josh Gad,Leslie Jones,Bill Hader,Animation, Action, Adventure,4275
DragonHeart,99598,PG-13,51.37,Dennis Quaid,Sean Connery,Dina Meyer,Pete Postlethwaite,Action, Adventure, Fantasy,4385
Behind Enemy Lines,108915,PG-13,59.07,Gene Hackman,Owen Wilson,Gabriel Macht,Charles Malik Whitfield,Action, Drama, Thriller,4575
Killer Elite,132934,R,25.12,Jason Statham,Clive Owen,Robert De Niro,Dominic Purcell,Action, Crime, Thriller,4592
Live by Night,58567,R,10.38,Ben Affleck,Elle Fanning,Brendan Gleeson,Chris Messina,Action, Crime, Drama,4614
Darkman,67160,R,33.88,Liam Neeson,Frances McDormand,Colin Friels,Larry Drake,Action, Sci-Fi, Thriller,
Kill List,42801,Not Rated,0.03,Neil Maskell,MyAnna Buring,Harry Simpson,Michael Smiley,Action, Crime, Horror,
Act of Valor,70365,R,70.01,Alex Veadov,Roselyn Sanchez,Nestor Serrano,Rorke Denver,Action, Adventure, Thriller,
The Siege,75369,R,40.98,Denzel Washington,Bruce Willis,Annette Bening,Tony Shalhoub,Action, Thriller,,
Let's Be Cops,137138,R,82.39,Jake Johnson,Damon Wayans Jr.,Rob Riggle,Nina Dobrev,Action, Comedy, Crime,
Daybreakers,131669,R,30.1,Ethan Hawke,Willem Dafoe,Sam Neill,Harriet Minto-Day,Action, Horror, Sci-Fi,
The Omega Man,32792,PG,8.72,Charlton Heston,Anthony Zerbe,Rosalind Cash,Paul Koslo,Action, Drama, Sci-Fi,
Shaft (2019),56038,R,21.36,Samuel L. Jackson,Jessie T. Usher,Richard Roundtree,Regina Hall,Action, Comedy, Crime,
Snitch,90392,PG-13,42.93,Dwayne Johnson,Susan Sarandon,Jon Bernthal,Rafi Gavron,Action, Drama, Thriller,
Contraband,124647,R,66.53,Mark Wahlberg,Giovanni Ribisi,Kate Beckinsale,Robert Wahlberg,Action, Crime, Drama,
The Prophecy,32174,R,16.12,Christopher Walken,Elias Koteas,Virginia Madsen,Eric Stoltz,Action, Crime, Drama,
The Rover,49788,R,1.11,Guy Pearce,Robert Pattinson,Scoot McNairy,David Field,Action, Crime, Drama,
Blood Father,65977,R,,Mel Gibson,Erin Moriarty,Diego Luna,Michael Parks,Action, Crime, Drama,
Just Cause,28255,R,36.85,Sean Connery,Laurence Fishburne,Kate Capshaw,Blair Underwood,Action, Crime, Drama,
Black Death,49685,R,0.02,Eddie Redmayne,Sean Bean,Carice van Houten,Kimberley Nixon,Action, Drama, History,
Batman: The Killing Joke,59213,R,3.78,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,Animation, Action, Crime,
Dead Man Down,69102,R,10.88,Colin Farrell,Noomi Rapace,Dominic Cooper,Terrence Howard,Action, Crime, Drama,
Lock Up,44708,R,22.1,Sylvester Stallone,Donald Sutherland,John Amos,Sonny Landham,Action, Crime, Drama,
Last Man Standing,59521,R,17.6,Bruce Willis,Bruce Dern,William Sanderson,Christopher Walken,Action, Crime, Drama,
Black and Blue,25220,R,22.06,Naomie Harris,Tyrese Gibson,Frank Grillo,Mike Colter,Action, Thriller,,
Basic,64512,R,26.54,John Travolta,Samuel L. Jackson,Connie Nielsen,Tim Daly,Action, Crime, Drama,
Son of a Gun,28850,R,0,Ewan McGregor,Brenton Thwaites,Alicia Vikander,Brendan Kerkvliet,Action, Crime, Drama,
Final Fantasy: The Spirits Within,83024,PG-13,32.13,Alec Baldwin,Steve Buscemi,Ming-Na Wen,Ving Rhames,Animation, Action, Adventure,
From Paris with Love,119367,R,23.98,John Travolta,Jonathan Rhys Meyers,Kasia Smutniak,Richard Durden,Action, Crime, Thriller,
Blood Work,46357,R,26.2,Clint Eastwood,Jeff Daniels,Anjelica Huston,Wanda De Jesus,Action, Crime, Drama,
How I Live Now,31217,R,0.06,Saoirse Ronan,Tom Holland,George MacKay,Harley Bird,Action, Adventure, Drama,
Ned Kelly,27570,R,0.07,Heath Ledger,Orlando Bloom,Geoffrey Rush,Naomi Watts,Action, Adventure, Biography,
Night Watch,54676,R,1.49,Konstantin Khabenskiy,Vladimir Menshov,Mariya Poroshina,Valeriy Zolotukhin,Action, Fantasy, Horror,
Resident Evil: Degeneration,32171,R,,Paul Mercier,Alyson Court,Laura Bailey,Roger Craig Smith,Animation, Action, Horror,
Day Watch,34903,R,0.45,Konstantin Khabenskiy,Mariya Poroshina,Vladimir Menshov,Galina Tyunina,Action, Fantasy, Horror,
Redirected,34322,Not Rated,,Vinnie Jones,Scot Williams,Gil Darnell,Oliver Jackson,Action, Comedy, Crime,
Fast X,34980,PG-13,,Vin Diesel,Michelle Rodriguez,Jason Statham,Jordana Brewster,Action, Adventure, Crime,2
Operation Fortune: Ruse de Guerre,55860,R,,Jason Statham,Aubrey Plaza,Cary Elwes,Hugh Grant,Action, Comedy, Thriller,81
King Arthur,171773,PG-13,51.88,Clive Owen,Stephen Dillane,Keira Knightley,Ioan Gruffudd,Action, Adventure, Drama,228
Black Adam,246566,PG-13,168.15,Dwayne Johnson,Aldis Hodge,Pierce Brosnan,Noah Centineo,Action, Adventure, Fantasy,298
Eternals,359354,PG-13,164.87,Gemma Chan,Richard Madden,Angelina Jolie,Salma Hayek,Action, Adventure, Fantasy,322
Dune,165778,PG-13,30.93,Kyle MacLachlan,Virginia Madsen,Francesca Annis,Leonardo Cimino,Action, Adventure, Sci-Fi,399
Uncharted,228207,PG-13,148.65,Tom Holland,Mark Wahlberg,Antonio Banderas,Sophia Ali,Action, Adventure,,425
The King's Man,158033,R,37.18,Ralph Fiennes,Gemma Arterton,Rhys Ifans,Harris Dickinson,Action, Adventure, Thriller,466
Spider-Man 3,607923,PG-13,336.53,Tobey Maguire,Kirsten Dunst,Topher Grace,Thomas Haden Church,Action, Adventure, Sci-Fi,691
Red Notice,291039,PG-13,,Dwayne Johnson,Ryan Reynolds,Gal Gadot,Ritu Arya,Action, Comedy, Thriller,774
Godzilla vs. Kong,219931,PG-13,100.92,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,Brian Tyree Henry,Action, Sci-Fi, Thriller,898
Central Intelligence,200333,PG-13,127.44,Dwayne Johnson,Kevin Hart,Danielle Nicolet,Amy Ryan,Action, Comedy, Crime,977
Sky High,90792,PG,63.95,Kurt Russell,Kelly Preston,Michael Angarano,Danielle Panabaker,Action, Comedy, Family,1032
Terminator Genisys,284499,PG-13,89.76,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,Action, Adventure, Sci-Fi,1166
Ocean's Eight,229381,PG-13,140.22,Sandra Bullock,Cate Blanchett,Anne Hathaway,Mindy Kaling,Action, Comedy, Crime,1285
The Last Stand,142382,R,12.05,Arnold Schwarzenegger,Forest Whitaker,Johnny Knoxville,Rodrigo Santoro,Action, Thriller, Western,1324
Polar,94229,TV-MA,,Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,Fei Ren,Action, Thriller,,1341
Tomb Raider,219687,PG-13,58.25,Alicia Vikander,Dominic West,Walton Goggins,Daniel Wu,Action, Adventure, Fantasy,1390
White House Down,228523,PG-13,73.1,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,Jason Clarke,Action, Drama, Thriller,1560
Terminator 3: Rise of the Machines,407804,R,150.37,Arnold Schwarzenegger,Nick Stahl,Kristanna Loken,Claire Danes,Action, Sci-Fi,,1687
Ghost in the Shell,220707,PG-13,40.56,Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche,Action, Crime, Drama,1810
The Bodyguard,141220,R,121.95,Kevin Costner,Whitney Houston,Gary Kemp,Bill Cobbs,Action, Drama, Music,1873
Knight and Day,202526,PG-13,76.42,Tom Cruise,Cameron Diaz,Peter Sarsgaard,Jordi Mollà,Action, Adventure, Comedy,1951
Waterworld,202292,PG-13,88.25,Kevin Costner,Jeanne Tripplehorn,Dennis Hopper,Tina Majorino,Action, Adventure, Sci-Fi,2026
A View to a Kill,101140,PG,50.33,Roger Moore,Christopher Walken,Tanya Roberts,Grace Jones,Action, Adventure, Thriller,2157
Miss Congeniality,218900,PG-13,106.81,Sandra Bullock,Michael Caine,Benjamin Bratt,Candice Bergen,Action, Comedy, Crime,2285
The Shallows,137821,PG-13,55.12,Blake Lively,Óscar Jaenada,Angelo Josue Lozano Corzo,Joseph Salas,Action, Drama, Horror,2357
Criminal,68192,R,14.27,Kevin Costner,Ryan Reynolds,Gal Gadot,Gary Oldman,Action, Sci-Fi, Thriller,2440
Every Which Way But Loose,28756,PG,106,Clint Eastwood,Sondra Locke,Geoffrey Lewis,Beverly D'Angelo,Action, Comedy,,2451
The American,99925,R,35.61,George Clooney,Paolo Bonacelli,Violante Placido,Irina Björklund,Action, Crime, Drama,2657
Run Hide Fight,25336,TV-MA,,Isabel May,Radha Mitchell,Thomas Jane,Eli Brown,Action, Crime, Drama,2709
Red Dawn (1984),60152,PG-13,38.38,Patrick Swayze,C. Thomas Howell,Lea Thompson,Charlie Sheen,Action, Drama, Thriller,2817
My Spy,32431,PG-13,,Dave Bautista,Chloe Coleman,Parisa Fitz-Henley,Kristen Schaal,Action, Comedy,,2898
Maze Runner: The Scorch Trials,260973,PG-13,81.7,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Action, Adventure, Sci-Fi,2904
Once Upon a Time in Mexico,165905,R,56.36,Antonio Banderas,Salma Hayek,Johnny Depp,Willem Dafoe,Action, Crime, Thriller,2982
Scouts Guide to the Zombie Apocalypse,52541,R,3.64,Tye Sheridan,Logan Miller,Joey Morgan,Sarah Dumont,Action, Comedy, Horror,2991
Death Wish,74102,R,34.02,Bruce Willis,Vincent D'Onofrio,Elisabeth Shue,Camila Morrone,Action, Crime, Drama,3169
Bright,194953,TV-MA,,Will Smith,Joel Edgerton,Noomi Rapace,Edgar Ramírez,Action, Fantasy, Thriller,3210
Beowulf,170848,PG-13,82.16,Ray Winstone,Crispin Glover,Angelina Jolie,Robin Wright,Animation, Action, Adventure,3258
Spectral,61735,PG-13,,James Badge Dale,Emily Mortimer,Bruce Greenwood,Max Martini,Action, Adventure, Sci-Fi,3313
Ninja Assassin,73858,R,38.11,Rain,Rick Yune,Naomie Harris,Joon Lee,Action, Thriller,,3331
The Take,47001,R,0.04,Idris Elba,Richard Madden,Charlotte Le Bon,Kelly Reilly,Action, Crime, Drama,3360
The Commuter,119643,PG-13,36.34,Liam Neeson,Vera Farmiga,Patrick Wilson,Jonathan Banks,Action, Mystery, Thriller,3374
Sand Castle,25276,TV-MA,,Nicholas Hoult,Logan Marshall-Green,Henry Cavill,Glen Powell,Action, Drama, War,3445
Predator 2,174656,R,30.67,Danny Glover,Gary Busey,Kevin Peter Hall,Rubén Blades,Action, Horror, Sci-Fi,3471
Triple 9,74460,R,12.63,Casey Affleck,Chiwetel Ejiofor,Anthony Mackie,Aaron Paul,Action, Crime, Thriller,3482
The Collector,68477,R,7.71,Josh Stewart,Andrea Roth,Juan Fernández,William Prael,Action, Horror, Thriller,3526
The Angry Birds Movie,97649,PG,107.51,Jason Sudeikis,Josh Gad,Danny McBride,Maya Rudolph,Animation, Action, Adventure,3561
Unlocked,37043,R,,Noomi Rapace,Orlando Bloom,Toni Collette,John Malkovich,Action, Thriller,,3702
Guns Akimbo,64757,R,,Daniel Radcliffe,Samara Weaving,Ned Dennehy,Natasha Liu Bordizzo,Action, Comedy, Crime,3727
Osmosis Jones,37380,PG,13.6,Laurence Fishburne,Chris Rock,David Hyde Pierce,Brandy Norwood,Animation, Action, Adventure,3861
Surrogates,177723,PG-13,38.58,Bruce Willis,Radha Mitchell,Ving Rhames,Rosamund Pike,Action, Sci-Fi, Thriller,3911
The Dead Pool,47358,R,37.9,Clint Eastwood,Liam Neeson,Patricia Clarkson,Evan C. Kim,Action, Crime, Mystery,4009
The Black Cauldron,38360,PG,21.29,Grant Bardsley,Freddie Jones,Susan Sheridan,Nigel Hawthorne,Animation, Action, Adventure,4109
#Alive,43490,TV-MA,,Yoo Ah-in,Park Shin-Hye,Jeon Bae-soo,Hyun-Wook Lee,Action, Drama, Horror,4140
Transporter 2,208331,PG-13,43.1,Jason Statham,Amber Valletta,Kate Nauta,Alessandro Gassmann,Action, Crime, Thriller,4242
Entrapment,120232,PG-13,87.7,Sean Connery,Catherine Zeta-Jones,Ving Rhames,Will Patton,Action, Crime, Romance,4391
Revolver,99097,R,0.08,Jason Statham,Ray Liotta,André 3000,Vincent Pastore,Action, Crime, Drama,4488
Free Fire,48263,R,1.8,Sharlto Copley,Brie Larson,Armie Hammer,Cillian Murphy,Action, Comedy, Crime,4506
Paycheck,110876,PG-13,53.79,Ben Affleck,Aaron Eckhart,Uma Thurman,Michael C. Hall,Action, Mystery, Sci-Fi,4621
This Means War,190398,PG-13,54.76,Reese Witherspoon,Chris Pine,Tom Hardy,Til Schweiger,Action, Comedy, Romance,
Blue Streak,85980,PG-13,68.52,Martin Lawrence,Luke Wilson,Peter Greene,Dave Chappelle,Action, Comedy, Crime,
Centurion,84460,R,0.12,Michael Fassbender,Dominic West,Olga Kurylenko,Andreas Wisniewski,Action, Drama, History,
Assassins,85812,R,30.31,Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Action, Crime, Thriller,
Johnny English Reborn,135420,PG,8.31,Rowan Atkinson,Rosamund Pike,Dominic West,Roger Barclay,Action, Adventure, Comedy,
Mr. Right,58115,R,0.03,Anna Kendrick,Sam Rockwell,Tim Roth,James Ransone,Action, Comedy, Romance,
Risen,29562,PG-13,36.87,Joseph Fiennes,Tom Felton,Peter Firth,Cliff Curtis,Action, Drama, History,
Underworld: Awakening,157794,R,62.32,Kate Beckinsale,Michael Ealy,India Eisley,Stephen Rea,Action, Fantasy, Horror,
Repo Men,108821,R,13.79,Jude Law,Forest Whitaker,Alice Braga,Liev Schreiber,Action, Sci-Fi, Thriller,
Escape from the Planet of the Apes,36969,G,12.3,Roddy McDowall,Kim Hunter,Bradford Dillman,Natalie Trundy,Action, Sci-Fi,,
Assault on Precinct 13,80419,R,19.98,Ethan Hawke,Laurence Fishburne,Gabriel Byrne,Maria Bello,Action, Crime, Drama,
Nick of Time,43991,R,8.17,Johnny Depp,Christopher Walken,Courtney Chase,Charles S. Dutton,Action, Crime, Drama,
Formula 51,50167,R,5.2,Samuel L. Jackson,Robert Carlyle,Emily Mortimer,Nigel Whitmey,Action, Comedy, Crime,
Proof of Life,58006,R,32.6,Meg Ryan,Russell Crowe,David Morse,Pamela Reed,Action, Drama, Thriller,
ARQ,40496,TV-MA,,Robbie Amell,Rachael Taylor,Shaun Benson,Gray Powell,Action, Sci-Fi, Thriller,
7500,30498,R,,Joseph Gordon-Levitt,Omid Memar,Aylin Tezel,Carlo Kitzlinger,Action, Drama, Thriller,
Charlie Countryman,29152,R,0.01,Shia LaBeouf,Evan Rachel Wood,Mads Mikkelsen,Til Schweiger,Action, Comedy, Drama,
Toofaan,51777,UA,,Farhan Akhtar,Mrunal Thakur,Paresh Rawal,Mohan Agashe,Action, Drama, Sport,
Mad Max Beyond Thunderdome,141532,PG-13,36.2,Mel Gibson,Tina Turner,Bruce Spence,Adam Cockburn,Action, Adventure, Sci-Fi,111
Thor: Love and Thunder,364061,PG-13,343.26,Chris Hemsworth,Natalie Portman,Christian Bale,Tessa Thompson,Action, Adventure, Comedy,119
